ville_depart;ville_arrivee;distance_train;distance_voiture;tarif_peage
Lyon;La Seyne-sur-Mer;343.5;377.3;25.37
Lyon;Villeneuve-d'Ascq;590.9;692.3;31.82
Lyon;Montauban;538.8;503.6;33.33
Lyon;Pantin;404.8;471.8;17.19
Lyon;Chambéry;109.1;99.3;5.69
Lyon;Niort;790.1;640.6;47.61
Lyon;Neuilly-sur-Seine;0.0;472.2;17.19
Lyon;Sarcelles;414.8;493.5;17.19
Lyon;Le Blanc-Mesnil;413.4;484.4;17.19
Lyon;Maisons-Alfort;401.9;465.5;17.19
Lyon;Lorient;858.6;846.2;57.86
Lyon;Villejuif;0.0;458.2;17.19
Lyon;Saint-André;0.0;10931.4;17.61
Lyon;Fréjus;418.1;415.1;24.83
Lyon;Beauvais;474.9;563.1;19.75
Lyon;Narbonne;361.6;392.6;29.45
Lyon;Meaux;443.2;482.9;23.77
Lyon;Hyères;364.9;402.9;26.81
Lyon;Bobigny;0.0;480.4;17.19
Lyon;La Roche-sur-Yon;789.7;685.9;52.24
Lyon;Clamart;423.7;461.5;17.19
Lyon;Vannes;811.3;787.9;57.86
Lyon;Chelles;418.6;480.2;18.57
Lyon;Cholet;775.5;620.5;40.7
Lyon;Saint-Louis;0.0;10931.4;17.61
Lyon;Épinay-sur-Seine;409.8;481.8;17.19
Lyon;Saint-Ouen-sur-Seine;411.7;476.3;17.19
Lyon;Saint-Quentin;540.9;586.0;25.55
Lyon;Bondy;410.5;480.1;17.19
Lyon;Bayonne;1092.0;735.0;38.06
Lyon;Corbeil-Essonnes;428.3;430.1;16.47
Lyon;Cagnes-sur-Mer;457.6;461.8;26.81
Lyon;Vaulx-en-Velin;0.0;10.5;0.0
Lyon;Les Abymes;0.0;1937.9;32.87
Lyon;Sevran;417.5;486.6;17.19
Lyon;Fontenay-sous-Bois;404.2;474.6;17.19
Lyon;Sartrouville;415.3;483.6;19.66
Lyon;Massy;415.1;450.4;17.19
Lyon;Arles;239.1;300.3;13.67
Lyon;Saint-Laurent-du-Maroni;0.0;1937.9;32.87
Lyon;Albi;561.1;386.6;0.33
Lyon;Laval;639.9;673.6;59.93
Lyon;Saint-Herblain;727.0;691.0;57.86
Lyon;Gennevilliers;413.5;478.3;17.19
Lyon;Suresnes;410.0;471.4;17.19
Lyon;Saint-Priest;9.8;14.8;0.47
Lyon;Vincennes;400.1;466.9;17.19
Lyon;Bastia;0.0;720.9;36.66
Lyon;Martigues;321.8;318.7;18.52
Lyon;Les Sables-d'Olonne;823.4;724.9;52.86
Lyon;Grasse;456.3;456.7;25.92
Lyon;Montrouge;0.0;461.1;17.19
Lyon;Aubagne;306.1;333.3;22.73
Lyon;Saint-Malo;789.4;804.5;60.64
Lyon;Évreux;486.7;553.7;21.52
Lyon;La Courneuve;406.5;485.7;17.19
Lyon;Blois;452.5;443.2;34.13
Lyon;Brive-la-Gaillarde;674.6;365.1;29.33
Lyon;Charleville-Mézières;591.1;568.9;20.77
Lyon;Meudon;410.0;465.3;17.19
Lyon;Carcassonne;408.3;454.6;32.41
Lyon;Choisy-le-Roi;410.3;458.4;17.19
Lyon;Noisy-le-Sec;409.6;477.9;17.19
Lyon;Livry-Gargan;0.0;484.3;17.19
Lyon;Rosny-sous-Bois;406.1;475.4;17.19
Lyon;Talence;929.9;561.5;33.34
Lyon;Belfort;327.9;340.0;35.74
Lyon;Alfortville;403.3;462.7;17.19
Lyon;Chalon-sur-Saône;118.4;132.5;4.37
Lyon;Salon-de-Provence;345.4;268.4;17.83
Lyon;Sète;296.4;342.4;14.2
Lyon;Istres;342.8;293.8;18.74
Lyon;Mantes-la-Jolie;451.9;514.5;20.05
Lyon;Saint-Germain-en-Laye;420.5;486.3;20.67
Lyon;Saint-Brieuc;809.6;820.4;49.69
Lyon;Tarbes;629.9;686.9;47.96
Lyon;Alès;266.4;247.0;6.92
Lyon;Châlons-en-Champagne;559.0;450.4;18.57
Lyon;Bagneux;0.0;460.5;17.19
Lyon;Puteaux;407.4;472.2;17.19
Lyon;Caluire-et-Cuire;0.0;5.0;0.0
Lyon;Bron;0.0;10.8;0.06
Lyon;Rezé;773.2;692.0;56.94
Lyon;Valenciennes;614.3;663.3;31.82
Lyon;Châteauroux;643.2;356.3;26.75
Lyon;Garges-lès-Gonesse;412.4;490.9;17.19
Lyon;Castres;568.1;470.3;29.01
Lyon;Arras;560.1;667.0;31.59
Lyon;Melun;436.6;420.0;21.83
Lyon;Thionville;615.0;489.9;17.95
Lyon;Le Cannet;0.0;445.2;25.92
Lyon;Bourg-en-Bresse;57.0;80.1;4.64
Lyon;Anglet;0.0;740.4;38.06
